Year,geographic_level,country_code,country_name,region_code,Region,LANumber,new_la_code,LA_name,PriNOR,For_3_P,For_1_P,SecNOR,For_3_S,For_1_S,Quan_P_Su,Quan_S_Su,PRI_NoR19,SEC_NoR19,SEC_NoR15,PRI_NoR15,An_P_gro,An_S_gro,NoR_10_to_15_P_percent,NoR_10_to_15_S_percent,NoR_10_to_19_P_percent,NoR_10_to_19_S_percent,NoR_15_to_current_P_percent,NoR_15_to_current_S_percent,NoR_19_to_current_P_percent,NoR_19_to_current_S_percent,Ban_P_gro,Ban_S_gro,Qual_P_1_N,Qual_P_2_N,Qual_P_3_N,Qual_P_4_N,Qual_P_0_N,Qual_P_Prop,Qual_P_1_E,Qual_P_2_E,Qual_P_3_E,Qual_P_4_E,Qual_P_0_E,Qual_S_Prop,KS2Mat_WAA_N,KS2Mat_AA_N,KS2Mat_A_N,KS2Mat_BA_N,KS2Mat_WBA_N,KS2Mat_NR_N,Qual_KS2Mat_Prop,KS2Mat_WAA_E,KS2Mat_AA_E,KS2Mat_A_E,KS2Mat_BA_E,KS2Mat_WBA_E,KS2Mat_NR_E,KS2Read_WAA_N,KS2Read_AA_N,KS2Read_A_N,KS2Read_BA_N,KS2Read_WBA_N,KS2Read_NR_N,Qual_KS2Read_Prop,KS2Read_WAA_E,KS2Read_AA_E,KS2Read_A_E,KS2Read_BA_E,KS2Read_WBA_E,KS2Read_NR_E,Qual_S_1_N,Qual_S_2_N,Qual_S_3_N,Qual_S_4_N,Qual_S_0_N,Qual_KS4_Prop,Qual_S_1_E,Qual_S_2_E,Qual_S_3_E,Qual_S_4_E,Qual_S_0_E,KS4_WAA_N,KS4_AA_N,KS4_A_N,KS4_BA_N,KS4_WBA_N,KS4_NR_N,KS4_WAA_E,KS4_AA_E,KS4_A_E,KS4_BA_E,KS4_WBA_E,KS4_NR_E,PriCap10,SecCap10,PriCap,SecCap,Quan_P_UP,Quan_S_UP,Quan_P_In,Quan_S_In,Quan_P_RP,Quan_S_RP,Quan_P_PP,Quan_S_PP,Pref_P_1_CY,Pref_P_2_CY,Pref_P_3_CY,Pref_S_1_CY,Pref_S_2_CY,Pref_S_3_CY,Pref_P_T3_CY,Pref_S_T3_CY,Pref_P_1_NY,Pref_P_2_NY,Pref_P_3_NY,Pref_S_1_NY,Pref_S_2_NY,Pref_S_3_NY,Pref_P_T3_NY,Pref_S_T3_NY,CPP_P_NS,CPP_P_EP,CPP_P_ET,CPP_S_NS,CPP_S_EP,CPP_S_ET,Projects_P_NS,Projects_P_EP,Projects_P_ET,Projects_S_NS,Projects_S_EP,Projects_S_ET,Cost_P_NS,Cost_P_EP,Cost_P_ET,Cost_S_NS,Cost_S_EP,Cost_S_ET,Places_P_NS,Places_P_EP,Places_P_ET,Places_S_NS,Places_S_EP,Places_S_ET,Funding,NoR_10_to_break_P_percent,NoR_10_to_break_S_percent,NoR_break_to_current_P_percent,NoR_break_to_current_S_percent,Qual_P_1_E_BA,Qual_P_1_N_BA,Qual_S_1_E_BA,Qual_S_1_N_BA,Qual_P_1_E_LM,Qual_P_1_N_LM,Qual_S_1_E_LM,Qual_S_1_N_LM,Qual_P_1_E_PD,Qual_P_1_N_PD,Qual_S_1_E_PD,Qual_S_1_N_PD,Qual_P_1_E_QE,Qual_P_1_N_QE,Qual_S_1_E_QE,Qual_S_1_N_QE,Qual_P_2_E_BA,Qual_P_2_N_BA,Qual_S_2_E_BA,Qual_S_2_N_BA,Qual_P_2_E_LM,Qual_P_2_N_LM,Qual_S_2_E_LM,Qual_S_2_N_LM,Qual_P_2_E_OE,Qual_P_2_N_OE,Qual_S_2_E_OE,Qual_S_2_N_OE,Qual_P_2_E_PD,Qual_P_2_N_PD,Qual_S_2_E_PD,Qual_S_2_N_PD,Qual_P_2_E_QE,Qual_P_2_N_QE,Qual_S_2_E_QE,Qual_S_2_N_QE,Qual_P_3_E_BA,Qual_P_3_N_BA,Qual_S_3_E_BA,Qual_S_3_N_BA,Qual_P_3_E_LM,Qual_P_3_N_LM,Qual_S_3_E_LM,Qual_S_3_N_LM,Qual_P_3_E_PD,Qual_P_3_N_PD,Qual_S_3_E_PD,Qual_S_3_N_PD,Qual_P_3_E_QE,Qual_P_3_N_QE,Qual_S_3_E_QE,Qual_S_3_N_QE,Qual_P_4_E_BA,Qual_P_4_N_BA,Qual_S_4_E_BA,Qual_S_4_N_BA,Qual_P_4_E_LM,Qual_P_4_N_LM,Qual_S_4_E_LM,Qual_S_4_N_LM,Qual_P_NA_E_BA,Qual_P_NA_N_BA,Qual_S_NA_E_BA,Qual_S_NA_N_BA,Qual_P_NA_E_LM,Qual_P_NA_N_LM,Qual_S_NA_E_LM,Qual_S_NA_N_LM,Qual_P_NA_E_PD,Qual_P_NA_N_PD,Qual_S_NA_E_PD,Qual_S_NA_N_PD,Qual_P_NA_E_QE,Qual_P_NA_N_QE,Qual_S_NA_E_QE,Qual_S_NA_N_QE,Qual_P_4_E_PD,Qual_P_4_N_PD,Qual_S_4_E_PD,Qual_S_4_N_PD,Qual_P_4_E_QE,Qual_P_4_N_QE,Qual_S_4_E_QE,Qual_S_4_N_QE,Qual_P_Prop_QE,Qual_P_Prop_BA,Qual_P_Prop_PD,Qual_P_Prop_LM,Qual_S_Prop_QE,Qual_S_Prop_BA,Qual_S_Prop_PD,Qual_S_Prop_LM
2024/25,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,25673,-0.006426986,0.011334865,18659,-0.004716223,0.010611501,0.096222958,0.046267981,27144,16974,17383,25614,-0.000856931,0.017900209,0.046537283,-0.097690112,0.109050051,-0.118920322,0.002303428,0.073405051,-0.054192455,0.099269471,0.048947906,-0.031456008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,z,2917,2163,13780,6127,2572,0,0,0,0,0,0,0,z,1674,1120,18000,4193,2572,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,56,0,0,0,0,2746,11094,5251,1209,0,27546,20684,28382,20356,7.976886759,7.756926705,836,0,0,200,0,0,92.33283804,5.349182764,0.683506686,83.86491557,10.5065666,1.849370142,98.36552749,96.22085232,92.003621,5.069402535,1.146650573,87.08683473,8.739495798,1.540616246,98.21967411,97.36694678,24085.17524,20173.03342,9537.535364,29178.44869,27745.93664,10706.75465,70,1204,616,12,144,41,572336019.2,2590943721,203092278,329833184,827245100.9,34229494.6,23763,128436,21294,11304,29815,3197,43842399.75,0.109050051,-0.097690112,-0.054192455,0.073405051,2660,0,1722,0,1925,0,1722,0,3384,0,1722,0,776,0,1722,0,23849,0,17369,56,23355,0,18578,56,20907,0,15418,56,23125,0,18578,56,23244,0,16639,56,1050,0,1209,0,2279,0,0,0,1050,0,0,0,3539,0,1939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,z,z,z,z,1,1,1,1
2024/25,Local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,15255,0.022353327,0.003015405,11804,-0.009318875,0.010674348,0.270830136,0.153607736,18379,11886,10563,18360,-0.065486726,-0.022280583,0.157191479,0.359109624,0.158389008,0.529336078,-0.169117647,0.117485563,-0.169976604,-0.006898873,-0.038510021,0.518785383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,z,2653,2460,12439,1332,630,847,0,0,0,0,0,0,z,2682,3119,10431,1827,1455,847,NA,NA,NA,NA,NA,0.831050228,NA,NA,NA,NA,NA,122,60,37,0,0,0,7978,2763,4405,840,0,0,17648,8973,20361,16205,23.83478218,11.66306695,2713,7232,0,0,0,0,84.9752339,8.145294441,3.192074849,77.1990172,12.28501229,5.061425061,96.31260319,94.54545455,88.07394156,6.440071556,2.564102564,74.56875308,14.04632824,4.583538689,97.07811568,93.19862001,32364.45422,27107.51366,12816.06315,39208.54042,37283.60236,14387.20155,70,1204,616,12,144,41,769076525.7,3481580625,272905248.6,443213341,1111610604,45995883.37,23763,128436,21294,11304,29815,3197,47830724.96,0.158389008,0.359109624,-0.169976604,0.117485563,10430,0,5019,122,8622,0,4590,122,11217,0,3105,122,7775,0,5019,122,9931,0,10967,97,11739,0,11396,97,11598,0,11396,97,9144,0,12881,97,12586,0,10967,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,z,z,z,z,1,1,1,1
2024/25,Local authority,E92000001,England,E12000008,South East,931,E10000025,Oxfordshire,51752,0.039592673,0.01909105,36919,0.02873859,0.018256182,0.202675417,0.163010273,52388,32501,30141,49904,0.004695471,0.008017552,0.10414408,-0.02247519,0.15910348,0.054063696,0.0370311,0.224876414,-0.012140185,0.135934279,0.14503175,0.197347084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,z,2962,7020,36030,6883,7001,4106,0,0,0,0,0,0,z,5850,6192,38565,3166,6123,4106,NA,NA,NA,NA,NA,0.403033586,NA,NA,NA,NA,NA,372,0,430,0,121,0,10194,10861,15268,7538,5153,2102,49549,42694,63267,53509,18.78230357,17.4774337,13718,10815,80,240,735,0,93.98331137,3.937930025,0.92226614,87.47309514,6.615009327,1.707562061,98.84350754,95.79566652,94.00260756,4.070693901,1.028538317,85.36835926,7.983563252,2.289404168,99.10183978,95.64132668,28350.25835,23745.34143,11226.47392,34345.46564,32659.27959,12602.74245,70,1204,616,12,144,41,673687189.2,3049756671,239056535.6,388241143.6,973736420.9,40290967.6,23763,128436,21294,11304,29815,3197,123207409.5,0.15910348,-0.02247519,-0.012140185,0.224876414,7418,0,8956,372,5876,0,12788,320,12265,0,10118,410,3675,0,5643,320,54904,0,38905,468,55831,0,36395,603,50699,0,36857,520,49900,0,39076,430,56562,0,43551,520,420,0,2655,83,1035,0,1333,0,577,0,1322,83,2505,0,1322,83,0,0,0,0,0,0,0,0,1260,0,600,0,1260,0,600,0,1260,0,600,0,1260,0,600,0,0,0,0,0,0,0,0,0,z,z,z,z,0.91007584,0.91007584,0.91007584,1
2024/25,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,64666,0.050088145,0.021943525,47736,0.073906486,0.023001508,0.131584876,0.085915024,66827,41745,39242,62089,0.01960845,0.05274845,0.085889678,-0.105962226,0.168753716,-0.048937188,0.041504936,0.216451761,-0.032337229,0.143514193,0.13095946,0.087553824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,105,0,0,210,0,6318,11770,39086,5618,3452,6502,0,0,105,0,0,210,0,4337,9761,41427,4446,6273,6502,NA,NA,NA,NA,NA,0.400471698,NA,NA,NA,NA,NA,390,459,159,550,562,0,3467,11274,24398,10439,9180,0,63192,58377,74452,61318,12.3650137,11.70292573,11260,2941,440,380,1230,1110,95.78644661,3.025756439,0.550137534,91.10133104,5.528123658,1.041219407,99.36234059,97.67067411,99.10262892,0,0.56875632,92.48913043,4.880434783,0.760869565,99.67138524,98.13043478,25841.38593,21643.98378,10232.98065,31306.0439,29769.07785,11487.4555,70,1204,616,12,144,41,614068853.9,2779866701,217901090,353883520.3,887565056.2,36725395.25,23763,128436,21294,11304,29815,3197,180358735.1,0.168753716,-0.105962226,-0.032337229,0.216451761,9787,105,3473,390,7213,0,11208,817,10788,0,9607,543,4413,0,5020,390,61269,0,47832,1396,63174,105,38589,793,58169,105,36830,1220,61036,105,42390,1243,64878,105,44777,1220,1690,0,7453,334,2359,0,6836,510,922,0,6761,334,3455,0,8961,510,0,0,0,0,0,0,2125,0,0,210,0,0,0,210,0,0,0,210,0,0,0,210,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.759433962,0.84245283,0.84245283,0.759433962
2024/25,Local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,118299,0.011234245,0.005579084,84318,0.036528381,0.013010271,0.114224578,0.083006569,117534,76239,72885,110631,-0.002595119,0.033575275,0.088887795,-0.071256547,0.156830709,-0.02851791,0.069311495,0.156863552,0.006508755,0.105969386,0.164360236,0.074429451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,68,150,274,0,1260,0.187739464,11818,16353,64643,18211,7758,10871,0,128,330,0,64,1260,0.245210728,9001,13283,77510,9543,9446,10871,NA,NA,NA,NA,NA,0.148908858,NA,NA,NA,NA,NA,0,348,482,530,977,0,8628,11398,33453,29880,17438,3920,114730,94766,131011,108014,9.717504637,11.74569963,16281,13248,490,260,839,300,90.31308022,5.858249568,1.683846597,83.82177746,8.690731475,2.698355969,97.85517639,95.2108649,90.34123403,5.579208235,1.683929593,83.42588122,8.830275229,2.613471753,97.60437186,94.8696282,24837.83696,20803.44072,9835.583344,30090.27521,28612.99716,11041.34073,70,1204,616,12,144,41,590221519.8,2671910712,209438911.7,340140471,853096510.3,35299166.31,23763,128436,21294,11304,29815,3197,332134054.1,0.156830709,-0.071256547,0.006508755,0.156863552,18272,668,10529,186,18463,668,17054,400,23260,668,15948,186,11969,668,12260,186,109030,274,79735,1848,107849,274,76102,1520,101253,274,66892,1201,105514,274,85971,1893,113977,274,74925,1569,2352,0,12585,303,3342,0,9693,417,880,0,1830,258,3708,0,16632,582,0,0,1868,0,0,0,1868,0,0,840,0,0,0,840,0,0,0,840,0,0,0,840,0,0,0,0,968,0,0,0,900,0,1,1,1,1,0.750962773,0.870346598,0.889602054,0.82156611
2024/25,Local authority,E92000001,England,E12000008,South East,825,E06000060,Buckinghamshire,43517,0.031183216,0.009904175,33619,0.003926351,0.004075077,0.108314063,0.042998675,44001,30065,28309,41521,-0.007881977,0.015318719,0.083448582,0.018529179,0.148161678,0.081708282,0.04807206,0.187572857,-0.01099975,0.118210544,0.135532187,0.209577607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,210,0,0,0,0,6572,3738,24155,4288,2048,6002,0,0,210,0,0,0,0,5601,5742,25826,1737,1895,6002,NA,NA,NA,NA,NA,0.701149425,NA,NA,NA,NA,NA,224,81,130,0,0,0,16319,7353,10448,4660,2650,1680,42388,35521,46953,44415,8.700189551,5.259484408,4565,8894,160,590,420,30,89.93933266,5.982473879,2.207617122,77.27830623,10.34059527,3.927585149,98.12942366,91.54648665,91.61634103,5.097690941,1.474245115,76.74062739,9.181331293,4.774292272,98.18827709,90.69625096,28350.25835,23745.34143,11226.47392,34345.46564,32659.27959,12602.74245,70,1204,616,12,144,41,673687189.2,3049756671,239056535.6,388241143.6,973736420.9,40290967.6,23763,128436,21294,11304,29815,3197,184421540.9,0.148161678,0.018529179,-0.01099975,0.187572857,9152,0,17014,224,5456,0,14584,177,12495,210,18094,224,2939,0,13739,177,37412,210,22006,211,38418,210,25614,258,29979,210,24751,258,34308,0,23251,211,39682,210,26459,258,239,0,2925,0,2929,0,1747,0,0,0,1765,0,4182,0,1765,0,0,0,1165,0,0,0,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,0,1,1,1,1,1,1,1,1
2024/25,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,20611,0.00810247,0.007908398,14802,0.063842724,0.015268207,0.157498054,0.154101339,21647,14257,13946,21424,-0.000242589,0.052695582,0.062329548,-0.137378611,0.073387217,-0.118141894,-0.037948096,0.061379607,-0.047858826,0.038226836,0.022016165,-0.084431249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,z,1960,1890,13413,3720,1680,1750,0,0,0,0,0,0,z,1330,945,15798,2385,2205,1750,NA,NA,NA,NA,NA,0.246515679,NA,NA,NA,NA,NA,0,283,555,184,126,0,0,1055,8287,5860,2880,0,23035,19896,23615,20028,14.39762863,17.78510086,580,132,40,10,0,150,95.40394973,2.980251346,0.39497307,95.06820567,3.287862889,0.664568031,98.77917415,99.02063659,94.95798319,2.813299233,0.474972598,92.91338583,4.621704896,0.410818213,98.24625502,97.94590894,22830.73903,19122.3546,9040.78873,27658.73782,26300.83577,10149.11117,70,1204,616,12,144,41,542526851.5,2455998735,192514555.2,312654372.3,784159418.6,32446708.42,23763,128436,21294,11304,29815,3197,18394452.29,0.073387217,-0.137378611,-0.047858826,0.061379607,4280,0,1055,283,4240,0,1055,283,4360,0,1055,283,3090,0,1055,283,20133,0,14177,814,20173,0,15227,814,19628,0,12227,814,20053,0,15227,814,21323,0,14327,814,0,0,2850,51,0,0,1800,51,0,0,1800,51,0,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,51,z,z,z,z,0.955574913,0.955574913,0.955574913,0.955574913
2024/25,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",12603,0.045544712,0.009838927,9237,0.031395475,0.013099491,0.157594874,0.19884853,13468,8792,8686,12762,-0.002856463,-0.006928656,0.04804139,-0.069423613,0.106019545,-0.058067281,-0.012458862,0.063435413,-0.064226314,0.050614195,0.034983986,-0.010392115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,z,679,1848,9086,1309,1078,777,0,0,0,0,0,0,z,1301,1967,8730,826,1176,777,NA,NA,NA,NA,NA,0.08892922,NA,NA,NA,NA,NA,0,49,224,278,0,0,130,600,2874,4245,3050,0,14557,11121,14672,11632,14.78326063,17.18535076,115,511,20,0,35,300,96.78249678,2.50965251,0.193050193,92.45604084,5.501985252,0.567214974,99.48519949,98.52524107,96.32968448,2.511268513,0.193174501,91.92878338,5.163204748,1.068249258,99.0341275,98.16023739,24085.17524,20173.03342,9537.535364,29178.44869,27745.93664,10706.75465,70,1204,616,12,144,41,572336019.2,2590943721,203092278,329833184,827245100.9,34229494.6,23763,128436,21294,11304,29815,3197,26839315.2,0.106019545,-0.069423613,-0.064226314,0.063435413,2857,0,1480,91,3732,0,1350,91,4922,0,1480,91,2192,0,1350,91,11920,0,9419,460,10709,0,9099,460,10570,0,6009,391,9715,0,9419,460,12102,0,7979,460,0,0,0,0,336,0,450,0,140,0,0,0,483,0,1570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,z,z,z,z,1,1,1,1
2024/25,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,26246,0.017412177,0.006896289,19370,0.029943211,0.011099639,0.096514764,0.047080543,26594,17372,16332,24729,-0.01969824,0.034228188,0.090007493,-0.064604811,0.172213162,-0.005040092,0.06134498,0.186015185,-0.013085658,0.115012664,0.156873981,0.109392898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,z,2845,3624,14836,3035,1251,2418,0,0,0,0,0,0,z,2837,1815,15081,3248,2610,2418,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,61,129,0,2200,1487,8976,7776,2841,308,24986,23108,28009,24198,6.087329073,6.93032482,3023,1090,40,180,0,450,95.41312272,3.007290401,0.486026731,75.92788971,12.32767762,3.419936373,98.90643985,91.67550371,93.83233533,3.892215569,0.538922156,77.41935484,10.10047594,3.860391327,98.26347305,91.3802221,24085.17524,20173.03342,9537.535364,29178.44869,27745.93664,10706.75465,70,1204,616,12,144,41,572336019.2,2590943721,203092278,329833184,827245100.9,34229494.6,23763,128436,21294,11304,29815,3197,79365101.47,0.172213162,-0.064604811,-0.013085658,0.186015185,3416,0,3687,0,3774,0,4642,0,3933,0,3687,0,2205,0,2200,0,24593,0,18410,61,23401,0,17455,61,22191,0,16900,61,24076,0,18410,61,24367,0,18558,61,0,0,0,0,834,0,0,0,0,0,1491,129,1437,0,1339,0,0,0,1491,129,0,0,1491,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1491,129,z,z,z,z,0.321052632,0.321052632,0.321052632,0.321052632
2024/25,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,19316,0.025833506,0.03561814,14769,0.025255603,0.025391022,0.115372613,0.104522389,20976,13371,12558,19589,0.029457445,0.020719074,0.122900545,-0.101909461,0.202407567,-0.043767432,-0.013936393,0.176063067,-0.079138063,0.104554633,0.107251361,0.056211113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,z,3062,1894,13945,2339,1048,180,0,0,0,0,0,0,z,1574,2528,15362,1566,1258,180,NA,NA,NA,NA,NA,0.407665505,NA,NA,NA,NA,NA,160,191,221,220,69,0,2325,1631,3000,2846,4732,0,19028,15112,22468,16916,12.11500801,11.88815323,3440,1804,10,0,0,0,95.39838091,3.067746059,0.51129101,84.57875458,8.131868132,1.648351648,98.97741798,94.35897436,95.38963688,2.692778458,0.611995104,86.68628172,7.46598014,1.397572637,98.69441044,95.5498345,25088.72421,21013.57648,9934.932671,30394.21738,28902.01733,11152.86942,70,1204,616,12,144,41,596183353.3,2698899709,211554456.3,343576233.3,861713646.8,35655723.54,23763,128436,21294,11304,29815,3197,62182367.74,0.202407567,-0.101909461,-0.079138063,0.176063067,1965,0,2181,79,629,0,2181,79,1965,0,2181,79,209,0,3156,239,20083,0,10400,633,20999,0,9499,633,20159,0,6350,493,19873,0,11231,702,20999,0,6497,413,420,0,1953,149,840,0,2854,149,630,0,1122,80,1260,0,4881,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,z,z,z,z,0.757259001,0.826945412,0.907084785,0.826945412
