LA_name,LANumber,Region,For_2_P,For_1_P,For_2_S,For_1_S,Quan_P_In,Quan_S_In,Quan_P_RP,Quan_S_RP,Quan_P_Su,Quan_S_Su,Quan_P_PP,Quan_S_PP,Qual_P_1_N,Qual_P_2_N,Qual_P_3_N,Qual_P_4_N,Qual_P_0_N,Qual_P_1_E,Qual_P_2_E,Qual_P_3_E,Qual_P_4_E,Qual_P_0_E,Qual_P_Prop,Qual_P_Propranks,Qual_S_1_N,Qual_S_2_N,Qual_S_3_N,Qual_S_4_N,Qual_S_0_N,Qual_S_1_E,Qual_S_2_E,Qual_S_3_E,Qual_S_4_E,Qual_S_0_E,Qual_S_Prop,Qual_S_Propranks,CPP_P_EP,CPP_P_ET,CPP_P_NS,CPP_S_EP,CPP_S_ET,CPP_S_NS,Projects_P_EP,Projects_P_ET,Projects_P_NS,Projects_S_EP,Projects_S_ET,Projects_S_NS,Cost_P_EP,Places_P_EP,Cost_P_ET,Places_P_ET,Cost_P_NS,Places_P_NS,Cost_S_EP,Places_S_EP,Cost_S_ET,Places_S_ET,Cost_S_NS,Places_S_NS,Ban_P_gro,Ban_S_gro,Funding,Pref_P_1_CY,Pref_P_2_CY,Pref_P_3_CY,Pref_S_1_CY,Pref_S_2_CY,Pref_S_3_CY,Pref_P_T3_CY,Pref_S_T3_CY,Pref_P_1_NY,Pref_P_2_NY,Pref_P_3_NY,Pref_S_1_NY,Pref_S_2_NY,Pref_S_3_NY,Pref_P_T3_NY,Pref_S_T3_NY,Quan_P_UP,Quan_S_UP,An_P_gro,An_S_gro
England,0,England,0.026000011,0.002100077,0.025038517,0.004812161,715584,399738,20470,40390,0.132835702,0.090749216,31947,53070,8137,32779,4841,156,20827,851488,3433188,455632,30383,23421,0.891163723,,23544,40682,8182,846,33585,815882,2035195,554893,99223,45290,0.876757583,,18006.57394,8571.727308,21558.67022,25003.39167,9466.969088,26105.34607,1204,616,70,144,41,12,2312692330,128436,182526361.3,21294,512298680.5,23763,745476122.7,29815,30265900.17,3197,295094831.9,11304,0.14384952,0.135923486,13608395369,91.77696545,4.936024698,1.242486281,81.12361741,8.953480303,3.335393238,97.95547643,93.41249095,8.953480303,3.335393238,97.95547643,93.41249095,91.77696545,4.936024698,1.242486281,81.12361741,0.090749216,0.132835702,0.135923486,0.14384952
City of London,201,Inner London,LOW,LOW,z,z,30,0,0,0,0.125,z,0,0,0,0,0,0,0,240,0,0,0,0,z,z,0,0,0,0,0,0,0,0,0,0,z,z,22688.28316,10800.37641,27163.92448,31504.27351,11928.38105,32892.73604,1204,616,70,144,41,12,2913992336,128436,229983215.2,21294,645496337.4,23763,939299914.6,29815,38135034.22,3197,371819488.2,11304,0.024390244,z,3345175.42,89.28571429,3.571428571,0,73.91304348,4.347826087,4.347826087,92.85714286,82.60869565,4.347826087,4.347826087,92.85714286,82.60869565,89.28571429,3.571428571,0,73.91304348,z,0.125,z,0.024390244
Camden,202,Inner London,0.03669997,-0.024631516,0.014363798,-0.007245456,1081,1959,0,0,0.216383946,0.190040451,0,0,0,90,0,0,0,4211,7784,0,0,0,1,1,0,0,0,0,0,1134,10962,0,0,0,z,z,22688.28316,10800.37641,27163.92448,31504.27351,11928.38105,32892.73604,1204,616,70,144,41,12,2913992336,128436,229983215.2,21294,645496337.4,23763,939299914.6,29815,38135034.22,3197,371819488.2,11304,-0.085730836,0.028062601,18217771.5,77.81435155,9.74325214,3.949967084,66.7752443,15.17915309,6.319218241,91.50757077,88.27361564,15.17915309,6.319218241,91.50757077,88.27361564,77.81435155,9.74325214,3.949967084,66.7752443,0.190040451,0.216383946,0.028062601,-0.085730836
Greenwich,203,Outer London,0.038641735,0.006385008,0.009171196,0.001358696,6319,5637,0,0,0.131378193,0.098388362,0,0,0,120,0,0,0,7281,18881,872,0,0,1,1,0,151,450,0,1200,2453,10989,1365,0,1150,0.25124792,120,21427.82299,10200.3555,25654.81756,29754.03609,11265.69321,31065.36182,1204,616,70,144,41,12,2752103873,128436,217206369.9,21294,609635429.8,23763,887116586,29815,36016421.21,3197,351162850,11304,0.286247136,0.36436241,160128665.1,88.89228886,6.640146879,1.927784578,59.8763615,14.83662055,7.594936709,97.46022032,82.30791875,14.83662055,7.594936709,97.46022032,82.30791875,88.89228886,6.640146879,1.927784578,59.8763615,0.098388362,0.131378193,0.36436241,0.286247136
Hackney,204,Inner London,0.01244213,0.009259259,0.016731644,0.009015595,4222,7109,10,0,0.214377163,0.064823798,0,30,0,210,0,0,0,8798,10823,1890,0,0,1,1,0,114,0,0,0,3755,10987,0,1226,0,1,1,22688.28316,10800.37641,27163.92448,31504.27351,11928.38105,32892.73604,1204,616,70,144,41,12,2913992336,128436,229983215.2,21294,645496337.4,23763,939299914.6,29815,38135034.22,3197,371819488.2,11304,0.083764024,0.601209626,47830724.96,90.99481377,4.384724187,1.885902876,63.66652841,15.71961842,7.673164662,97.26544083,87.05931149,15.71961842,7.673164662,97.26544083,87.05931149,90.99481377,4.384724187,1.885902876,63.66652841,0.064823798,0.214377163,0.601209626,0.083764024
Hammersmith and Fulham,205,Inner London,0.086918253,0.019584113,-0.002157497,-0.011057174,2228,2845,0,0,0.22454989,0.110550305,0,0,0,0,0,0,0,4236,6810,840,0,0,z,z,163,60,0,0,0,3509,5025,1200,0,0,1,1,22688.28316,10800.37641,27163.92448,31504.27351,11928.38105,32892.73604,1204,616,70,144,41,12,2913992336,128436,229983215.2,21294,645496337.4,23763,939299914.6,29815,38135034.22,3197,371819488.2,11304,0.049652659,0.312837109,65121935.78,79.56903432,8.778930567,3.671189146,57.30593607,14.07914764,8.371385084,92.01915403,79.7564688,14.07914764,8.371385084,92.01915403,79.7564688,79.56903432,8.778930567,3.671189146,57.30593607,0.110550305,0.22454989,0.312837109,0.049652659
Islington,206,Inner London,0.032840981,-0.00204274,0.003071581,-0.014690171,1702,781,0,0,0.207356585,0.192269637,0,0,330,205,0,0,0,3030,11336,420,0,0,1,1,180,90,0,0,0,3645,2652,1990,0,0,1,1,22688.28316,10800.37641,27163.92448,31504.27351,11928.38105,32892.73604,1204,616,70,144,41,12,2913992336,128436,229983215.2,21294,645496337.4,23763,939299914.6,29815,38135034.22,3197,371819488.2,11304,0.000721848,-0.018162535,27581656.44,78.46232179,8.706720978,3.564154786,64.51434879,14.95584989,6.732891832,90.73319756,86.20309051,14.95584989,6.732891832,90.73319756,86.20309051,78.46232179,8.706720978,3.564154786,64.51434879,0.192269637,0.207356585,-0.018162535,0.000721848
Kensington and Chelsea,207,Inner London,-0.01399139,-0.016143911,-0.022121272,-0.008097966,847,1241,0,110,0.177533892,0.000209979,0,180,40,0,0,0,0,4345,3360,0,0,0,1,1,0,0,0,0,0,5372,600,0,0,0,z,z,22688.28316,10800.37641,27163.92448,31504.27351,11928.38105,32892.73604,1204,616,70,144,41,12,2913992336,128436,229983215.2,21294,645496337.4,23763,939299914.6,29815,38135034.22,3197,371819488.2,11304,-0.001567398,0.651305189,17287745.38,66.62143826,11.66892809,6.241519674,63.26259947,15.38461538,7.692307692,84.53188602,86.33952255,15.38461538,7.692307692,84.53188602,86.33952255,66.62143826,11.66892809,6.241519674,63.26259947,0.000209979,0.177533892,0.651305189,-0.001567398
Lambeth,208,Inner London,0.057855387,0.004365498,0.084453462,0.003212444,4936,7932,0,0,0.292139919,0.277505797,735,0,56,0,0,0,0,9548,14237,1050,875,0,1,1,0,0,0,0,975,6400,9163,1415,0,0,z,z,22688.28316,10800.37641,27163.92448,31504.27351,11928.38105,32892.73604,1204,616,70,144,41,12,2913992336,128436,229983215.2,21294,645496337.4,23763,939299914.6,29815,38135034.22,3197,371819488.2,11304,0.009416703,0.276515152,114848438.4,86.07987592,8.142690965,2.636680884,61.06750392,14.71742543,6.8288854,96.85924777,82.61381476,14.71742543,6.8288854,96.85924777,82.61381476,86.07987592,8.142690965,2.636680884,61.06750392,0.277505797,0.292139919,0.276515152,0.009416703
Lewisham,209,Inner London,0.062840934,0.011084443,-0.035664336,-0.013986014,6066,1885,0,0,0.230343145,0.199830826,0,0,30,150,0,0,60,7255,18404,1336,0,840,1,1,90,400,0,0,0,1803,8049,3668,0,0,1,1,22688.28316,10800.37641,27163.92448,31504.27351,11928.38105,32892.73604,1204,616,70,144,41,12,2913992336,128436,229983215.2,21294,645496337.4,23763,939299914.6,29815,38135034.22,3197,371819488.2,11304,0.087039953,0.003178247,121272643.9,86.89320388,6.674757282,2.548543689,62.05128205,15.8974359,7.532051282,96.11650485,85.48076923,15.8974359,7.532051282,96.11650485,85.48076923,86.89320388,6.674757282,2.548543689,62.05128205,0.199830826,0.230343145,0.003178247,0.087039953
